0,0.20000000298023224
500,26.650000397115946
1000,53.6500007994473
1500,82.00000122189522
2000,101.90000151842833
2500,118.55000176653266
3000,139.20000207424164
3500,159.65000237897038,158.15
4000,180.45000268891454,179.15
4500,203.90000303834677,202.25
5000,226.55000337585807
5500,248.40000370144844,247.05
6000,271.25000404194,270.15
6500,287.85000428929925,286.5
7000,306.90000457316637
7500,327.45000487938523,325.6
8000,347.80000518262386,346.1
8500,369.6000055074692,367.4
9000,390.7000058218837,389.05
9500,407.7000060752034,405.85
10000,420.65000626817346
10500,436.75000650808215,435.1
11000,457.00000680983067,454.7
11500,480.2000071555376
12000,499.50000744313
12415,499.50000744313
